image_name,ocr_blocks,ocr_confidence,word_count,mixed_script,scripts_detected,handwritten_blocks,segments_found,layout_confidence,zone_prescriber,zone_patient,zone_drug,zone_dosage,zone_duration,zone_clinical,zone_annotation,bbox_prescriber,bbox_patient,bbox_drug,bbox_dosage,bbox_duration,bbox_clinical,bbox_annotation,conf_prescriber,conf_patient,conf_drug,conf_dosage,conf_duration,conf_clinical,conf_annotation,status,error_msg
99.jpg,34,medium,150,0,latin,13,7,medium,1,1,1,1,1,1,1,1,1,0,0,1,1,1,high,high,high,high,high,medium,low,success,
100.jpg,19,medium,58,0,latin,8,14,medium,1,0,1,1,0,1,1,1,0,1,0,0,1,1,high,,high,medium,,medium,low,success,
101.jpg,20,high,28,0,latin,4,6,low,1,0,1,1,1,1,1,0,0,1,1,0,1,1,medium,,medium,low,low,medium,low,success,
102.jpg,11,medium,33,1,latin|devanagari,8,2,medium,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,medium,,success,
103.jpg,16,medium,46,0,latin,8,7,medium,1,1,1,1,1,1,0,1,0,0,1,0,1,0,high,medium,high,medium,medium,low,,success,
104.jpg,9,medium,27,0,latin,2,3,low,0,1,0,0,0,1,1,0,1,0,0,0,1,0,,low,,,,high,low,success,
105.jpg,26,medium,189,0,latin,4,6,high,1,0,1,1,0,1,1,1,0,1,1,0,1,1,high,,high,high,,high,low,success,
106.jpg,17,low,32,0,latin,14,5,low,0,1,1,1,0,0,1,0,0,1,0,0,0,1,,low,medium,medium,,,low,success,
107.jpg,11,medium,45,0,latin,6,5,medium,1,1,1,1,0,1,0,1,1,1,0,0,0,0,high,low,medium,low,,medium,,success,
108.jpg,52,high,174,0,latin,8,6,medium,1,1,1,1,0,1,1,0,1,1,0,0,1,1,high,high,high,high,,medium,low,success,
109.jpg,27,high,46,0,latin,6,5,medium,1,0,1,1,0,1,1,1,0,1,1,0,1,1,high,,high,medium,,medium,low,success,
110.jpg,7,medium,30,0,latin,6,4,low,0,1,0,0,0,1,1,0,0,0,0,0,1,1,,low,,,,medium,low,success,
111.jpg,39,medium,145,1,latin|devanagari|bengali,24,6,medium,1,1,0,0,0,1,1,1,1,0,0,0,1,0,high,medium,,,,low,high,success,
112.jpg,8,high,37,0,latin,1,5,medium,1,1,1,1,0,0,1,0,0,0,0,0,0,1,high,high,high,medium,,,low,success,
113.jpg,9,medium,39,0,latin,4,4,medium,1,1,1,1,0,0,0,1,1,0,0,0,0,0,high,high,medium,medium,,,,success,
114.jpg,17,high,66,0,latin,0,7,medium,1,1,1,1,1,1,1,1,0,0,0,0,0,1,high,high,high,high,medium,medium,low,success,
115.jpg,26,medium,88,0,latin,8,7,medium,1,1,1,1,1,1,1,1,1,1,1,0,0,1,high,medium,high,medium,low,low,low,success,
116.jpg,31,medium,90,0,latin,8,6,medium,1,1,1,1,1,1,0,1,1,0,1,0,1,0,high,high,high,medium,high,medium,,success,
117.jpg,19,medium,47,0,latin,8,5,medium,1,0,1,1,0,1,1,0,0,0,1,0,1,1,medium,,high,high,,medium,low,success,
118.jpg,21,medium,47,0,latin,16,2,low,1,1,0,0,0,0,0,1,1,0,0,0,0,0,high,low,,,,,,success,
119.jpg,50,medium,189,1,latin|devanagari,13,6,medium,1,1,0,0,0,1,1,0,1,0,0,0,1,1,high,high,,,,medium,low,success,
120.jpg,14,high,43,0,latin,3,5,low,1,1,1,1,1,0,0,1,1,0,0,0,0,0,medium,medium,low,low,low,,,success,
121.jpg,6,low,9,0,latin,4,4,medium,0,1,1,1,0,1,0,0,1,1,1,0,1,0,,medium,high,medium,,low,,success,
122.jpg,6,medium,19,0,latin,5,7,medium,0,0,1,1,0,0,1,0,0,0,0,0,0,1,,,high,high,,,low,success,
123.jpg,5,medium,37,0,latin,4,6,medium,1,1,1,1,0,0,1,0,0,0,1,0,0,1,high,medium,medium,low,,,low,success,
124.jpg,51,high,186,1,latin|bengali,7,7,medium,1,1,1,1,1,1,1,1,1,1,0,0,1,1,high,high,high,high,high,medium,low,success,
125.jpg,23,medium,97,0,latin,9,7,low,1,1,0,0,0,1,1,1,0,0,0,0,1,1,high,medium,,,,low,low,success,
126.jpg,14,high,39,0,latin,4,4,medium,1,1,1,1,0,0,0,1,1,1,1,0,0,0,low,medium,high,high,,,,success,
127.jpg,10,medium,18,0,latin,6,6,low,1,1,1,0,0,1,1,1,1,0,0,0,0,0,high,medium,low,,,medium,low,success,
128.jpg,60,medium,197,1,latin|devanagari,18,6,medium,1,1,0,0,0,1,1,0,1,0,0,0,1,1,high,high,,,,medium,high,success,
129.jpg,13,medium,52,0,latin,4,7,medium,1,1,1,1,1,1,1,1,1,0,0,0,1,0,high,medium,high,medium,low,low,low,success,
